order_id,customer_id,order_date,total_amount,payment_method,shipping_country
49158,270054,2024-08-08,2383.85,PayPal,Christmas Island
50341,1943576,2021-12-24,4852.63,Cash,Kuwait
50828,588266,2022-12-17,3963.0,Cash,Chile
52393,414730,2021-11-28,770.74,Cash,Belize
52920,1745566,2023-08-25,1827.63,Credit Card,Israel
53321,964062,2022-03-14,5009.35,Credit Card,Mexico
53426,1659974,2025-02-12,2810.16,Bank Transfer,Iran
53511,1899783,2024-04-01,3067.07,Bank Transfer,Isle of Man
54512,966453,2022-12-29,2222.65,Bank Transfer,Western Sahara
54941,1317233,2022-01-27,0.0,Credit Card,Norfolk Island
55033,759909,2023-02-05,1042.78,Cash,Nauru
55287,547514,2025-07-08,825.56,Credit Card,Iraq
55763,884155,2021-10-10,1309.69,PayPal,Moldova
56450,703555,2022-07-09,1164.72,Bank Transfer,New Zealand
56906,202709,2023-07-03,822.12,Bank Transfer,Tuvalu
57221,1877292,2022-08-21,1373.62,Cash,Tonga
57337,117047,2025-07-26,201.48,Credit Card,Cuba
57915,29406,2025-03-29,676.51,Bank Transfer,Monaco
58365,59141,2024-08-03,416.0,Cash,Andorra
58575,507821,2023-07-09,1482.01,Credit Card,Austria
59509,471610,2024-04-06,1691.65,Credit Card,Turkey
59658,856966,2023-10-15,7246.76,Bank Transfer,Brunei Darussalam
60150,1280392,2022-08-03,0.0,Credit Card,Nepal
60790,928086,2025-02-12,3782.69,Cash,Chile
62218,1927155,2024-05-19,4354.72,Bank Transfer,Qatar
62416,753559,2022-02-11,1265.4,Bank Transfer,Central African Republic
62489,1143705,2025-01-08,3597.66,Cash,Norway
64216,1546437,2023-03-07,1092.43,Credit Card,Svalbard & Jan Mayen Islands
64391,1579543,2024-08-22,3033.77,Cash,Anguilla
65164,1520515,2024-01-18,710.7,Bank Transfer,Mayotte
65316,68148,2024-09-20,4468.32,Credit Card,Guam
65374,7163,2021-10-09,284.92,Bank Transfer,France
66966,1845934,2023-05-16,1998.42,PayPal,Bouvet Island (Bouvetoya)
67789,1065584,2023-06-23,2462.93,PayPal,Cocos (Keeling) Islands
68119,116564,2022-12-05,1189.35,PayPal,Cayman Islands
68722,1224499,2021-11-26,1685.52,Bank Transfer,Tonga
68924,242307,2024-01-29,0.0,PayPal,Latvia
69535,142702,2022-09-28,1257.25,Cash,Australia
69539,1786759,2022-03-13,5291.6,PayPal,Tokelau
69701,642620,2024-04-27,3131.7,Bank Transfer,Saint Barthelemy
70136,1307186,2023-08-31,91.6,Bank Transfer,Samoa
70219,1875832,2024-01-24,2038.54,Credit Card,Mauritania
70647,1203736,2024-02-11,2509.91,Credit Card,Antarctica (the territory South of 60 deg S)
71585,81367,2023-12-06,3168.42,Cash,Bouvet Island (Bouvetoya)
71607,1126397,2024-12-28,0.0,Cash,Congo
71681,11048,2023-09-29,4215.9,Credit Card,Bahamas
71757,493430,2022-10-06,2036.02,Credit Card,Grenada
72181,804954,2023-03-04,2286.29,PayPal,Latvia
72972,1032069,2022-10-10,2042.9,PayPal,Australia
73052,1259941,2022-02-15,4695.37,Cash,Congo
73143,260668,2023-11-26,1721.27,Bank Transfer,Guadeloupe
74456,1247450,2024-11-19,0.0,PayPal,Saudi Arabia
75926,1912534,2025-03-28,0.0,Cash,Isle of Man
76076,677840,2023-07-01,183.06,PayPal,Czech Republic
77569,1024509,2024-03-08,1003.88,Cash,British Virgin Islands
77825,1940271,2023-08-28,3403.14,PayPal,Pitcairn Islands
78108,167331,2024-09-26,0.0,PayPal,Kuwait
78264,1227323,2025-01-29,4995.3,Bank Transfer,Comoros
78917,960048,2025-06-04,602.36,PayPal,Christmas Island
78943,925042,2022-03-22,2194.08,Bank Transfer,Ghana
79117,1116046,2024-07-03,1749.29,Credit Card,Armenia
79296,754023,2023-09-12,2625.27,PayPal,Afghanistan
79332,627063,2025-05-08,6135.09,Cash,Yemen
79670,866096,2024-05-22,2541.99,PayPal,New Caledonia
79836,904108,2025-08-11,1741.52,Credit Card,Saint Helena
80182,1457442,2025-02-13,198.91,Credit Card,Estonia
80566,702218,2022-04-13,832.98,PayPal,New Zealand
81161,540426,2022-12-05,610.46,Cash,Jamaica
81380,1068703,2021-10-03,136.92,Cash,Yemen
81895,366533,2021-09-19,4548.19,PayPal,Afghanistan
82450,135098,2022-02-14,1897.6,PayPal,Namibia
82735,735777,2024-03-31,660.84,PayPal,Albania
83015,1901332,2022-11-17,5134.34,Cash,Nigeria
83075,776690,2021-10-18,2471.34,Credit Card,Guinea
83086,833849,2023-10-02,713.34,Cash,Fiji
84147,1436111,2023-06-27,3312.6,Bank Transfer,India
84286,823795,2024-05-09,3418.1,Credit Card,Botswana
84379,41550,2024-01-09,706.5,PayPal,Faroe Islands
85043,232778,2021-09-16,718.81,Bank Transfer,Guam
85061,305711,2024-06-22,4660.76,Cash,Liechtenstein
85716,734566,2023-03-15,3226.19,Credit Card,Czech Republic
86592,571894,2023-12-01,352.48,Bank Transfer,Sierra Leone
87540,941371,2022-04-02,952.81,Cash,Nepal
87633,325253,2023-07-13,751.3,Cash,Myanmar
87810,1036690,2025-02-03,648.85,PayPal,Cyprus
87970,739267,2021-12-09,5864.68,Credit Card,Guatemala
88203,1797834,2025-07-08,785.76,Cash,Cook Islands
88611,442580,2024-03-12,0.0,Cash,Tuvalu
88707,559210,2023-11-29,1953.68,Bank Transfer,Saint Barthelemy
89933,1315666,2022-10-18,2179.95,Cash,Bolivia
90249,1150926,2023-01-01,679.64,PayPal,Samoa
90743,623188,2023-05-03,1126.15,Cash,Suriname
91488,798943,2022-02-10,1089.81,Bank Transfer,South Africa
91540,1125432,2023-02-14,0.0,Cash,Timor-Leste
91543,1900736,2022-11-12,1493.11,Cash,Syrian Arab Republic
91644,1566330,2022-01-07,1090.32,Cash,Korea
92131,206152,2025-06-04,5068.44,Credit Card,Spain
92811,1483449,2023-07-27,3038.47,PayPal,Timor-Leste
93403,1540790,2022-08-01,202.92,PayPal,Germany
93406,941371,2025-06-10,798.84,Bank Transfer,Zimbabwe
93521,68793,2023-11-04,1606.34,PayPal,Chile
93596,1788130,2023-01-28,149.63,Credit Card,Kuwait
93903,1247830,2023-05-21,4359.01,Cash,Djibouti
94028,628302,2022-08-20,706.14,Cash,Kuwait
94406,1658595,2023-11-05,793.12,Bank Transfer,Saint Pierre and Miquelon
94522,881464,2024-07-23,1320.6,PayPal,Georgia
95004,939283,2021-09-10,1028.79,Credit Card,Cambodia
95364,83557,2021-09-13,5494.02,PayPal,El Salvador
95537,747819,2024-05-28,4210.63,PayPal,Syrian Arab Republic
96342,667976,2023-07-01,1270.68,Credit Card,Bahamas
98302,946271,2021-09-09,3121.57,Credit Card,Bouvet Island (Bouvetoya)
98460,1222692,2021-12-01,4230.79,PayPal,Israel
99568,701867,2025-05-16,1030.98,Credit Card,Jordan
99868,27717,2021-12-10,458.87,Credit Card,Oman
99925,1686999,2024-02-23,751.25,Credit Card,Cook Islands
100050,79083,2024-05-09,0.0,Cash,Korea
100177,1621805,2024-10-03,4216.32,PayPal,Greenland
100657,277907,2023-06-18,1655.01,Bank Transfer,Gibraltar
102496,1920669,2022-03-06,1413.04,Credit Card,Uzbekistan
103128,1981878,2022-12-06,81.63,Bank Transfer,Mexico
103212,1705989,2022-10-08,309.31,Bank Transfer,Qatar
104843,695920,2023-12-22,4857.89,Credit Card,Finland
105045,143970,2023-03-09,521.64,Credit Card,Belgium
105286,134666,2024-12-14,2752.41,PayPal,Latvia
106075,1568950,2025-03-19,263.94,Cash,Timor-Leste
106293,923711,2022-10-15,361.19,Bank Transfer,Botswana
106705,1062572,2025-04-04,7177.9,PayPal,Japan
106881,1112768,2024-06-12,0.0,Credit Card,Burundi
106940,1790507,2021-12-14,1437.3,PayPal,Switzerland
107061,1319509,2023-02-28,1030.22,Bank Transfer,Micronesia
107491,1739414,2022-11-07,93.42,Cash,Iceland
107752,474101,2022-10-01,2266.33,Bank Transfer,Papua New Guinea
108585,1802068,2024-04-27,2345.53,Cash,Saint Kitts and Nevis
109033,446730,2024-03-05,0.0,Bank Transfer,Cook Islands
109087,71243,2024-10-17,3388.88,Credit Card,Togo
109986,769708,2025-03-11,1534.11,Bank Transfer,Cayman Islands
111668,276556,2022-06-12,977.54,Credit Card,Armenia
112112,915511,2024-03-23,1136.92,Cash,France
112191,117047,2024-11-17,932.73,Cash,Turkey
112237,1620093,2021-09-25,1355.95,Bank Transfer,Nepal
112277,770086,2022-03-12,2984.51,Credit Card,Argentina
112543,1022930,2024-07-04,271.52,Bank Transfer,Bahamas
112764,310568,2024-10-07,5673.28,Cash,Puerto Rico
113295,746690,2024-12-31,1213.62,PayPal,Namibia
113655,528883,2022-03-09,1922.74,Credit Card,Ghana
113703,525131,2021-09-24,7351.42,Cash,Thailand
113781,66602,2025-06-12,749.16,Credit Card,Guadeloupe
113984,1754474,2024-06-15,204.19,Credit Card,Congo
114213,460263,2022-07-21,31.88,Credit Card,Namibia
114684,209717,2024-11-01,721.76,Credit Card,Yemen
115655,596435,2022-07-13,2501.56,Credit Card,Tunisia
116022,1544519,2025-03-06,1751.32,Bank Transfer,Mozambique
117577,1979433,2024-04-12,2793.29,PayPal,Moldova
117651,825725,2024-07-01,1877.65,Credit Card,Dominican Republic
117844,1767214,2025-02-09,0.0,Cash,Estonia
118293,1760272,2024-09-30,1236.7,Credit Card,Comoros
118515,1505474,2025-03-24,1839.02,PayPal,Iran
118795,1842317,2022-02-10,518.43,PayPal,Russian Federation
118957,1607861,2022-10-17,2060.41,Bank Transfer,New Caledonia
119259,988413,2025-06-25,1563.69,Cash,Israel
120587,118217,2025-06-24,0.0,PayPal,Cote d'Ivoire
122539,1686999,2025-03-26,661.1,Cash,Turkmenistan
123056,1432994,2025-07-04,2599.49,PayPal,Egypt
123396,96606,2024-03-16,2878.64,Bank Transfer,Kiribati
125184,1317866,2024-04-16,4586.61,PayPal,Malawi
125754,932125,2024-09-21,219.12,Cash,Greenland
126307,821647,2023-12-05,2384.82,PayPal,Samoa
126686,829268,2022-07-29,2844.19,Credit Card,Macao
126864,819128,2024-03-01,1459.8,PayPal,Bhutan
127234,833849,2023-06-10,2709.98,Credit Card,Cambodia
127352,1178965,2022-04-06,2423.5,Cash,Djibouti
127356,622427,2021-09-01,1071.8,Credit Card,Ukraine
127423,464991,2024-09-11,0.0,Bank Transfer,Palau
129017,1864277,2025-05-17,0.0,Credit Card,Mali
129184,807928,2023-03-16,331.85,Bank Transfer,Kenya
129327,350570,2022-03-24,2220.98,Bank Transfer,Philippines
129423,162384,2023-03-01,287.19,PayPal,Malawi
129585,1246552,2023-01-11,1536.18,PayPal,Guyana
129627,969160,2024-08-08,801.78,Cash,Iceland
129742,283338,2022-11-16,1424.32,PayPal,Fiji
129959,1008108,2021-10-19,0.0,Bank Transfer,Moldova
130314,1821655,2023-03-21,792.31,Credit Card,Sweden
130808,1761879,2024-10-29,2340.11,Bank Transfer,Wallis and Futuna
131315,8438,2022-12-17,1388.96,Credit Card,Antigua and Barbuda
132075,1376111,2024-06-12,669.7,PayPal,Mali
132613,410291,2022-07-31,2756.47,PayPal,Cameroon
133250,245879,2022-07-27,2009.85,Credit Card,Bangladesh
133448,304872,2023-03-12,0.0,Bank Transfer,Bouvet Island (Bouvetoya)
134397,996640,2025-08-25,1958.95,Cash,Malta
134428,1913109,2024-11-12,3367.19,Cash,Jersey
134715,1751003,2024-07-26,3801.72,Cash,Niger
134839,1517406,2022-02-23,2719.88,Cash,Lebanon
135145,540426,2022-11-30,1247.19,Cash,Guatemala
135328,1195354,2024-01-14,2236.64,Bank Transfer,Chile
135385,793510,2024-07-25,2087.72,PayPal,Samoa
136024,1126886,2023-01-10,5469.3,Credit Card,Taiwan
136310,1480192,2022-03-14,1706.6,Credit Card,Cambodia
136428,204284,2022-10-28,152.43,PayPal,Cayman Islands
137929,1402537,2022-11-14,1122.93,Bank Transfer,Palau
138326,1315501,2022-12-10,908.36,Bank Transfer,Lao People's Democratic Republic
138572,1160008,2025-08-04,1348.68,Bank Transfer,Togo
139362,904779,2022-03-02,1642.49,Cash,Andorra
140147,531976,2022-03-25,6234.55,Credit Card,Andorra
140566,990275,2023-09-09,2213.95,Bank Transfer,Thailand
140567,556140,2023-06-17,552.93,Cash,Ireland
140841,4492,2025-06-07,432.68,Bank Transfer,El Salvador
141421,1554205,2023-12-23,943.76,PayPal,Namibia
142520,1121848,2023-05-12,653.8,PayPal,Indonesia
142537,647418,2022-09-24,1555.95,Bank Transfer,Montserrat
142806,1280392,2024-10-18,1820.36,Bank Transfer,Mongolia
143278,1958153,2024-09-10,5232.97,PayPal,Haiti
143384,1764023,2024-04-20,1764.05,PayPal,Turkey
143443,1477954,2022-02-13,6121.04,Credit Card,Croatia
143573,1270164,2025-04-26,1180.79,PayPal,Nigeria
143577,61632,2022-04-20,0.0,Bank Transfer,Christmas Island
143781,757552,2022-10-16,4382.3,Bank Transfer,Cambodia
144127,695150,2025-08-19,0.0,Credit Card,Malaysia
144141,1865655,2022-09-27,0.0,PayPal,Samoa
145096,839398,2024-06-12,631.22,Bank Transfer,Antigua and Barbuda
145130,1279482,2022-03-27,1691.97,PayPal,Azerbaijan
145799,1374770,2022-10-03,4974.25,Cash,Saint Kitts and Nevis
145861,212769,2022-08-21,515.72,Bank Transfer,Zimbabwe
146046,667921,2025-05-05,3363.86,Cash,Heard Island and McDonald Islands
146268,657565,2025-08-17,1996.84,PayPal,Samoa
148751,394340,2024-05-20,2379.76,Cash,Cuba
149393,629664,2023-02-19,3682.52,Cash,Belarus
150614,1950791,2022-01-17,310.6,PayPal,United Arab Emirates
150672,677886,2023-04-26,1015.71,Credit Card,Holy See (Vatican City State)
151094,1014203,2022-10-14,1256.28,Bank Transfer,Tunisia
151170,1574599,2025-07-09,4152.56,PayPal,Croatia
151382,1837495,2021-10-10,3439.07,Credit Card,Ecuador
151559,739267,2025-03-01,1686.45,Cash,Haiti
152850,357478,2024-08-23,933.44,Cash,Cuba
153164,1911548,2023-02-05,3493.35,Cash,Central African Republic
154487,564258,2022-06-19,0.0,Cash,Niue
154532,1531377,2022-08-03,968.25,Credit Card,Cameroon
154660,722527,2023-08-07,0.0,Credit Card,Jersey
155416,1326514,2024-04-13,4270.82,Cash,Iceland
155626,748051,2024-11-02,817.18,Cash,Armenia
155678,825302,2022-04-22,2377.84,Credit Card,Pitcairn Islands
156069,41232,2024-07-19,3634.08,Cash,Switzerland
156216,795974,2023-07-09,1236.54,Cash,Reunion
156431,995285,2023-12-11,3902.6,Bank Transfer,Brazil
157285,320498,2025-02-26,1603.06,PayPal,Faroe Islands
157856,312432,2022-05-24,2016.95,Bank Transfer,Pakistan
158925,39180,2023-09-28,2481.33,PayPal,United States Virgin Islands
160567,1684343,2024-02-20,1189.78,PayPal,Honduras
161014,154416,2024-11-25,1841.43,Cash,Barbados
161506,960285,2022-12-20,1235.17,Credit Card,Holy See (Vatican City State)
161641,1374321,2023-12-26,2059.19,Bank Transfer,Belarus
162035,891792,2024-06-27,2577.47,Bank Transfer,Togo
162087,1702268,2023-02-17,3719.4,PayPal,Faroe Islands
162433,1097469,2022-04-03,2528.05,Credit Card,Nepal
162440,1951386,2024-06-30,2530.77,Cash,Anguilla
162600,1064825,2023-12-04,3011.2,Cash,Saint Martin
162672,1258876,2025-04-24,1752.3,Cash,Qatar
163105,276556,2023-06-29,2518.58,Credit Card,Tuvalu
163664,798859,2021-10-10,1286.52,Credit Card,Northern Mariana Islands
163748,826354,2023-07-04,1067.87,Bank Transfer,Vietnam
164192,66602,2022-09-27,460.63,PayPal,Korea
164209,117177,2023-06-16,3156.83,PayPal,Brunei Darussalam
164642,434727,2021-10-17,0.0,Bank Transfer,Lebanon
164668,1705989,2021-09-01,874.18,Credit Card,Somalia
165126,1343379,2023-07-16,302.04,Credit Card,Palau
165528,1878756,2024-09-11,3107.25,Cash,Faroe Islands
165580,548746,2022-08-15,3836.1,Credit Card,Lithuania
165607,1962650,2025-05-08,2804.83,Bank Transfer,Niue
165842,1969543,2023-02-28,3015.59,Credit Card,French Polynesia
166058,1510455,2024-05-19,517.45,Credit Card,Hungary
166067,929192,2025-03-07,0.0,Bank Transfer,Guatemala
166490,5387,2022-05-17,1493.91,PayPal,Botswana
166695,1597618,2025-03-05,451.61,Credit Card,Botswana
166745,1132735,2023-10-08,3965.38,PayPal,Montserrat
167035,851998,2021-12-02,2716.49,Bank Transfer,Armenia
168995,532483,2023-05-22,2111.41,PayPal,Samoa
169112,1548354,2024-05-11,2901.45,Credit Card,New Caledonia
170077,410504,2024-06-05,2332.76,Credit Card,Martinique
173374,1317512,2022-10-06,1748.22,PayPal,Comoros
173386,291039,2024-05-13,3227.44,PayPal,Iraq
173993,343898,2024-09-09,1422.19,Credit Card,Timor-Leste
174050,56524,2025-01-09,2903.62,Bank Transfer,Ethiopia
174427,649872,2022-01-23,1759.54,Credit Card,Malawi
174729,918298,2025-01-30,1008.91,Credit Card,Grenada
175306,25826,2025-05-23,499.76,Cash,Guatemala
175398,568514,2024-06-15,2114.23,PayPal,Albania
175412,500430,2021-10-21,496.26,Bank Transfer,Chad
175762,658990,2023-03-13,2231.02,Cash,Netherlands
175769,692501,2023-01-28,3160.85,PayPal,Tajikistan
176434,311604,2022-01-17,3632.34,Cash,Sudan
176897,1557205,2023-08-11,993.24,Cash,Thailand
176969,353731,2023-05-17,2691.41,Cash,Austria
177089,990102,2025-04-07,2344.84,Bank Transfer,Svalbard & Jan Mayen Islands
178038,424961,2021-10-06,3657.65,Cash,Luxembourg
178280,1412353,2025-07-30,1617.7,Cash,Mali
178778,730054,2024-08-16,3074.81,Credit Card,Albania
179081,1218753,2024-04-30,1166.04,PayPal,Azerbaijan
180078,1234563,2025-01-05,601.11,Credit Card,Moldova
180510,516595,2025-07-18,2321.65,PayPal,Iran
181392,777514,2023-02-08,843.34,Bank Transfer,Ecuador
182274,1585855,2023-07-18,4924.96,Cash,Swaziland
182652,177210,2024-03-06,3947.97,Bank Transfer,Nigeria
183070,136738,2024-10-21,3514.79,PayPal,Malaysia
183193,1741060,2025-02-25,2279.06,Bank Transfer,Martinique
183401,1013533,2023-08-27,8104.67,PayPal,Hong Kong
183794,734866,2022-05-21,1506.26,Cash,Guatemala
183872,438396,2022-06-06,905.43,Cash,French Polynesia
184910,147347,2025-07-27,4674.6,Credit Card,Saint Barthelemy
185091,722742,2024-06-06,1638.92,PayPal,Austria
185535,1081593,2024-12-16,1849.78,PayPal,Nicaragua
185915,73855,2023-01-26,380.9,PayPal,Liechtenstein
186016,1638946,2025-01-28,195.84,PayPal,Saint Pierre and Miquelon
186397,1271245,2022-01-13,5159.5,PayPal,Reunion
187131,848220,2025-04-18,5941.37,Bank Transfer,Belize
187415,370948,2023-12-25,822.14,Cash,Kyrgyz Republic
187678,135652,2023-04-23,2110.48,Bank Transfer,Saint Barthelemy
188733,446829,2023-10-05,1754.9,PayPal,Equatorial Guinea
188776,1672753,2022-01-23,323.68,Credit Card,Iran
188830,415191,2025-03-26,1246.09,Cash,Martinique
189516,1601502,2022-08-07,1820.48,Credit Card,Mongolia
190084,473259,2022-11-30,1981.55,Cash,Ireland
190625,409563,2023-08-29,2222.91,Bank Transfer,Bhutan
191154,1786759,2023-11-29,5064.78,Bank Transfer,Cocos (Keeling) Islands
191241,937220,2021-11-28,1270.95,Bank Transfer,Taiwan
191377,607059,2025-03-07,2131.88,Cash,Bhutan
191804,940017,2023-11-12,1055.24,Credit Card,Isle of Man
191960,1833263,2022-03-21,4746.56,Cash,Guyana
192064,1842317,2023-12-30,4982.17,Cash,Paraguay
192093,1102837,2024-02-10,3542.23,PayPal,Belgium
192526,1001720,2022-01-26,2125.73,Credit Card,Saint Martin
192748,1330556,2025-07-09,2204.33,Credit Card,Lithuania
192812,1540597,2025-05-19,4765.96,Bank Transfer,Tuvalu
193048,1659974,2025-01-16,2824.47,Cash,Brazil
193259,1160008,2022-01-17,4059.07,PayPal,Portugal
193377,1578326,2023-04-30,3524.98,Bank Transfer,South Georgia and the South Sandwich Islands
193457,436465,2023-07-18,1534.08,Cash,Australia
193489,563349,2023-05-28,2023.45,Cash,Slovenia
194668,1289374,2025-04-28,3797.68,Cash,United Arab Emirates
194844,1763388,2024-07-20,0.0,Cash,Cook Islands
195239,802788,2023-09-01,3770.1,Bank Transfer,Western Sahara
196047,1992497,2025-05-16,5009.91,Cash,Sri Lanka
196217,914472,2022-03-14,1883.41,PayPal,South Georgia and the South Sandwich Islands
