stock_id,product_id,quantity_change,movement_type,change_date
179,9775,161,IN,2023-08-04
180,9775,345,IN,2022-10-30
181,5987,182,IN,2024-07-20
182,13461,-4,ADJUSTMENT,2022-08-05
183,13461,-75,OUT,2022-12-28
184,1422,-94,OUT,2021-07-11
185,1422,495,IN,2023-04-19
186,1422,-78,OUT,2025-07-16
187,1422,-17,OUT,2021-08-29
188,1422,16,ADJUSTMENT,2023-05-17
189,15430,474,IN,2021-05-24
190,15430,-83,OUT,2021-07-31
191,15430,42,ADJUSTMENT,2024-11-25
192,15430,-73,OUT,2022-09-20
193,15430,-64,OUT,2025-05-17
194,4388,261,IN,2024-10-16
195,4388,307,IN,2024-10-14
196,4388,-49,ADJUSTMENT,2022-07-29
197,11215,277,IN,2025-08-30
198,11215,155,IN,2023-02-22
199,10863,-16,OUT,2023-05-19
200,6751,115,IN,2024-08-01
201,6751,-4,OUT,2024-05-28
202,6751,312,IN,2021-03-07
203,7162,316,IN,2025-01-25
204,7162,-94,OUT,2022-04-09
205,7162,-34,OUT,2021-07-24
206,7162,467,IN,2022-07-30
207,13669,121,IN,2021-08-20
208,2205,-51,OUT,2023-10-15
209,2205,35,IN,2025-01-16
210,2205,-52,OUT,2022-08-19
211,6153,325,IN,2025-01-12
212,6153,-41,ADJUSTMENT,2022-10-04
213,6153,-46,OUT,2022-03-10
214,6153,-67,OUT,2024-06-28
215,4471,-60,OUT,2022-05-30
216,4471,49,IN,2025-07-05
217,4471,23,ADJUSTMENT,2022-08-21
218,4471,89,IN,2025-08-02
219,4223,-17,OUT,2021-08-03
220,4223,-25,OUT,2023-04-20
221,19080,-43,OUT,2022-07-05
222,3162,-33,OUT,2021-09-04
223,3162,-34,ADJUSTMENT,2023-06-11
224,13000,407,IN,2024-08-18
225,13000,-30,OUT,2023-09-07
226,362,-16,ADJUSTMENT,2022-11-01
227,362,-1,ADJUSTMENT,2025-08-08
228,362,486,IN,2023-06-07
229,362,199,IN,2025-10-11
230,6467,74,IN,2024-12-10
231,6467,-22,OUT,2023-07-26
232,18728,279,IN,2025-10-25
233,18728,227,IN,2023-03-22
234,18728,-99,OUT,2025-05-21
235,18728,48,ADJUSTMENT,2024-03-05
236,10063,-11,ADJUSTMENT,2022-12-28
237,10063,-96,OUT,2024-07-11
238,10063,-82,OUT,2024-07-05
239,10063,155,IN,2024-03-25
240,14003,-9,OUT,2023-07-17
241,14003,-12,ADJUSTMENT,2021-12-07
242,14003,46,ADJUSTMENT,2024-04-20
243,5634,132,IN,2024-02-07
244,5634,467,IN,2024-01-22
245,11642,-1,OUT,2025-11-04
246,11642,479,IN,2022-10-10
247,11642,-69,OUT,2025-09-03
248,11642,464,IN,2023-08-28
249,18884,-77,OUT,2021-03-21
250,7190,-15,OUT,2022-03-11
251,7190,324,IN,2023-08-04
252,7190,271,IN,2022-12-08
253,7190,-7,OUT,2021-11-08
254,7190,-1,OUT,2023-12-01
255,8412,404,IN,2024-11-19
256,8412,-52,OUT,2022-08-22
257,10779,47,ADJUSTMENT,2021-09-23
258,10779,-67,OUT,2024-10-25
259,10779,-53,OUT,2023-11-26
260,10779,283,IN,2023-04-21
261,7846,-45,OUT,2025-08-04
262,18168,135,IN,2024-06-25
263,18168,322,IN,2025-05-12
264,18168,20,ADJUSTMENT,2024-10-24
265,18168,-84,OUT,2023-11-13
266,18168,-75,OUT,2023-05-06
267,15355,12,IN,2022-09-03
268,15355,148,IN,2024-07-19
269,15355,-91,OUT,2021-04-16
270,15355,-24,OUT,2021-04-07
271,16752,-7,OUT,2025-04-10
272,16752,497,IN,2021-11-18
273,16752,-95,OUT,2022-04-06
274,16752,-6,OUT,2024-03-30
275,17131,18,ADJUSTMENT,2025-03-02
276,17131,-86,OUT,2024-03-29
277,17131,255,IN,2023-07-27
278,17131,374,IN,2023-03-10
279,17131,-4,OUT,2022-08-14
280,1291,-5,OUT,2024-12-27
281,1291,461,IN,2025-01-01
282,1291,291,IN,2025-10-19
283,16671,-66,OUT,2023-05-29
284,16671,495,IN,2023-02-07
285,16671,-39,OUT,2021-10-13
286,7143,272,IN,2023-06-11
287,7143,-79,OUT,2021-04-14
288,7143,-45,OUT,2022-12-20
289,1587,-66,OUT,2024-01-11
290,8484,302,IN,2025-08-15
291,8484,400,IN,2024-09-14
292,8484,386,IN,2025-03-24
293,4518,-13,OUT,2023-12-27
294,4518,323,IN,2025-02-07
295,4518,-68,OUT,2024-09-11
296,4518,32,IN,2025-09-14
297,4518,-55,OUT,2025-04-24
298,2756,281,IN,2025-11-20
299,2756,-5,OUT,2025-12-01
300,2756,323,IN,2023-07-08
301,12925,352,IN,2024-11-28
302,12925,-57,OUT,2023-09-26
303,3522,282,IN,2025-03-02
304,3522,-32,OUT,2021-03-24
305,3522,184,IN,2025-11-28
306,3522,20,IN,2021-01-20
307,3522,221,IN,2024-04-13
308,7687,-31,ADJUSTMENT,2021-06-07
309,7687,42,ADJUSTMENT,2022-02-23
310,7687,-26,OUT,2023-12-25
311,7687,-52,OUT,2023-01-11
312,7687,77,IN,2024-07-16
313,5211,319,IN,2022-07-18
314,5211,-30,ADJUSTMENT,2024-07-29
315,5211,-67,OUT,2024-11-15
316,13625,4,ADJUSTMENT,2022-08-24
317,13625,129,IN,2024-01-23
318,13625,194,IN,2021-11-29
319,16572,-78,OUT,2025-04-09
320,16572,-82,OUT,2025-04-07
321,16572,318,IN,2023-08-09
322,11759,238,IN,2021-08-09
323,11759,-24,OUT,2023-11-29
324,15147,429,IN,2021-10-12
325,15147,413,IN,2025-06-16
326,15147,322,IN,2022-12-14
327,11324,365,IN,2022-11-07
328,18672,-82,OUT,2023-12-24
329,18672,19,ADJUSTMENT,2024-09-07
330,18672,-6,OUT,2023-12-11
331,13884,436,IN,2023-03-01
332,13884,-34,OUT,2021-05-02
333,13884,-2,OUT,2024-10-18
334,13884,147,IN,2022-03-20
335,8051,-49,OUT,2024-10-16
336,8051,-9,OUT,2021-02-21
337,8051,-31,OUT,2022-01-09
338,1120,461,IN,2022-11-15
339,7621,-24,OUT,2025-04-25
340,2317,-66,OUT,2023-05-10
341,2317,-82,OUT,2021-07-21
342,2317,219,IN,2022-03-22
343,18515,431,IN,2025-04-26
344,18515,-45,OUT,2023-09-19
345,18515,-35,OUT,2021-06-28
346,2275,417,IN,2025-04-23
347,2275,-59,OUT,2022-08-10
348,2275,-45,OUT,2022-12-07
349,4163,17,ADJUSTMENT,2024-08-12
350,4163,-64,OUT,2023-03-02
351,4163,-10,OUT,2023-03-03
352,4163,-29,OUT,2022-09-14
353,4163,-35,OUT,2023-10-21
354,5365,-58,OUT,2022-04-27
355,5365,403,IN,2025-03-31
356,5365,235,IN,2022-12-09
357,5365,-3,ADJUSTMENT,2022-05-26
358,12011,41,ADJUSTMENT,2022-08-24
359,17499,435,IN,2021-04-18
360,17499,-35,OUT,2025-10-27
361,17499,35,ADJUSTMENT,2023-10-16
362,324,139,IN,2025-09-06
363,867,2,ADJUSTMENT,2024-03-09
364,867,220,IN,2021-06-23
365,3967,-68,OUT,2025-04-26
366,3967,358,IN,2024-09-14
367,3967,31,ADJUSTMENT,2024-05-20
368,3967,-30,OUT,2021-03-19
369,3967,-48,OUT,2021-04-03
370,10098,-60,OUT,2025-01-22
371,10098,299,IN,2024-08-01
372,10098,-88,OUT,2025-07-07
373,7019,73,IN,2023-10-12
374,14742,-4,OUT,2021-07-19
375,14742,-83,OUT,2024-09-14
376,14742,-13,OUT,2024-11-08
377,5410,-98,OUT,2024-06-08
378,5410,-10,OUT,2025-10-31
379,5410,-62,OUT,2025-04-13
380,3847,-57,OUT,2022-10-17
381,3819,-33,OUT,2025-06-05
382,14246,-71,OUT,2024-03-18
383,14246,140,IN,2022-02-07
384,14246,-97,OUT,2025-09-16
385,14246,451,IN,2021-06-20
386,10245,-90,OUT,2025-05-31
387,15761,-71,OUT,2025-04-23
388,15761,387,IN,2024-12-25
389,15761,95,IN,2021-04-01
390,15761,-39,OUT,2025-02-08
391,19408,-30,OUT,2025-06-30
392,19408,-84,OUT,2025-03-25
393,19408,-14,OUT,2024-05-25
394,19408,261,IN,2023-07-01
395,19408,231,IN,2024-12-02
396,9607,277,IN,2023-01-05
397,9607,-81,OUT,2023-03-03
398,9607,101,IN,2022-04-07
399,9607,-24,OUT,2022-07-02
400,3610,-39,ADJUSTMENT,2022-05-10
401,2368,-11,OUT,2023-08-06
402,2368,351,IN,2024-10-15
403,2368,-27,OUT,2024-07-30
404,2266,75,IN,2022-10-20
405,2266,46,ADJUSTMENT,2025-03-19
406,2266,-16,OUT,2023-12-01
407,2266,-44,OUT,2021-02-07
408,13251,-87,OUT,2025-01-02
409,13251,292,IN,2023-09-11
410,13251,-61,OUT,2022-02-18
411,13251,-61,OUT,2024-07-28
412,13251,-49,OUT,2022-10-06
413,17081,-27,OUT,2024-02-20
414,1252,49,ADJUSTMENT,2024-11-28
415,1252,-4,ADJUSTMENT,2021-10-22
416,1252,-38,OUT,2024-11-05
417,13010,493,IN,2022-07-29
418,13010,-43,OUT,2023-07-14
419,13010,244,IN,2022-04-06
420,13010,-82,OUT,2023-06-23
421,18269,-87,OUT,2021-05-18
422,18269,242,IN,2025-04-08
423,18269,-57,OUT,2022-01-01
424,18269,-30,OUT,2021-01-05
425,2124,424,IN,2024-01-09
426,2124,-74,OUT,2024-12-29
427,2124,-11,OUT,2024-06-11
428,2124,315,IN,2025-12-01
429,11910,-75,OUT,2023-05-15
430,11910,201,IN,2022-10-03
431,17111,443,IN,2022-11-14
432,17111,-71,OUT,2023-12-06
433,15604,390,IN,2021-10-09
434,15604,82,IN,2024-07-21
435,15604,-18,ADJUSTMENT,2025-07-02
436,15604,-100,OUT,2025-05-24
437,7819,227,IN,2025-05-03
438,7819,204,IN,2023-02-21
439,7819,-85,OUT,2022-07-03
440,17640,-65,OUT,2022-03-03
441,17640,-4,OUT,2023-09-04
442,17640,120,IN,2024-04-10
443,1442,-89,OUT,2022-08-28
444,1442,-34,OUT,2024-11-25
445,1442,-19,OUT,2023-11-11
446,1442,-34,OUT,2022-03-08
447,1442,-62,OUT,2023-04-01
448,17652,-13,OUT,2021-05-28
449,17652,47,ADJUSTMENT,2024-09-26
450,5638,384,IN,2022-05-02
451,5638,-6,OUT,2024-02-09
452,5638,274,IN,2024-04-25
453,5638,232,IN,2023-05-27
454,17138,-93,OUT,2021-09-22
455,17138,-97,OUT,2025-10-12
456,10968,479,IN,2023-02-20
457,10968,474,IN,2023-08-31
458,10968,270,IN,2024-09-19
459,15835,-2,OUT,2022-10-31
460,15835,-2,OUT,2023-02-20
461,15835,245,IN,2024-11-04
462,15835,3,ADJUSTMENT,2022-01-16
463,275,-19,OUT,2022-02-27
464,275,296,IN,2022-03-25
465,275,-32,OUT,2021-05-15
466,275,447,IN,2023-05-07
467,14653,13,ADJUSTMENT,2023-10-16
468,14653,-25,OUT,2025-07-25
469,14653,-69,OUT,2024-02-08
470,14653,-48,ADJUSTMENT,2025-06-01
471,3157,-65,OUT,2022-09-16
472,17691,-36,OUT,2024-02-24
473,17691,198,IN,2024-11-11
474,15448,429,IN,2025-06-08
475,15448,-14,OUT,2022-03-07
476,15448,-22,OUT,2024-09-30
477,15448,155,IN,2024-03-11
478,15448,109,IN,2024-10-09
479,13670,-4,OUT,2022-01-20
480,13670,119,IN,2023-05-12
481,9685,123,IN,2025-09-20
482,19899,-45,OUT,2021-05-26
483,19899,14,ADJUSTMENT,2024-04-28
484,19899,352,IN,2025-02-15
485,19899,256,IN,2023-11-24
486,19899,-29,OUT,2025-04-07
487,1695,157,IN,2025-10-15
488,1695,-54,OUT,2022-12-22
489,1695,450,IN,2023-06-09
490,11079,-90,OUT,2023-12-22
491,11079,96,IN,2023-04-26
492,7145,-71,OUT,2023-02-15
493,7145,364,IN,2021-06-18
494,7145,337,IN,2023-09-23
495,7145,237,IN,2023-06-25
496,17255,-56,OUT,2023-03-10
497,17255,364,IN,2025-03-27
498,17255,-26,ADJUSTMENT,2022-11-20
499,17255,-49,OUT,2021-05-07
500,12859,459,IN,2023-02-23
501,12859,-70,OUT,2024-04-06
502,12859,188,IN,2021-04-11
503,12859,489,IN,2025-10-12
504,12859,29,ADJUSTMENT,2023-04-26
505,19924,-47,OUT,2023-07-08
506,19924,-79,OUT,2023-09-24
507,6654,202,IN,2024-08-14
508,6654,-73,OUT,2023-04-11
509,6654,-85,OUT,2025-03-07
510,6654,-10,OUT,2024-03-01
511,2754,-1,OUT,2023-11-03
512,2754,-14,OUT,2023-09-27
513,389,-20,OUT,2021-08-25
514,389,0,ADJUSTMENT,2025-08-13
515,389,-66,OUT,2024-01-27
516,389,20,IN,2021-11-18
517,6111,-21,ADJUSTMENT,2022-07-27
518,6111,-14,OUT,2022-07-16
519,19922,-85,OUT,2022-04-24
520,8064,355,IN,2023-10-06
521,8064,-24,OUT,2025-08-12
522,8064,59,IN,2023-12-03
523,8064,415,IN,2023-09-02
524,10814,73,IN,2025-05-01
525,10814,-3,OUT,2025-01-26
526,10814,-62,OUT,2021-05-08
527,10814,197,IN,2021-01-18
528,10814,-47,OUT,2024-02-17
529,6789,434,IN,2024-03-03
530,16447,-61,OUT,2022-11-05
531,16447,-10,ADJUSTMENT,2022-01-02
532,16447,233,IN,2023-06-13
533,4330,44,IN,2022-11-03
534,4330,-46,OUT,2023-07-27
535,4330,395,IN,2024-05-02
536,4330,-80,OUT,2021-04-16
537,4849,-72,OUT,2025-03-24
538,4849,335,IN,2021-06-08
539,4849,-86,OUT,2022-03-05
540,4849,20,ADJUSTMENT,2024-12-14
541,5174,-89,OUT,2021-03-04
542,9139,-2,OUT,2024-04-28
543,9139,409,IN,2022-02-25
544,9139,-81,OUT,2024-02-28
545,14419,-92,OUT,2022-11-11
546,14419,344,IN,2021-11-19
547,14419,-64,OUT,2025-09-11
548,14713,55,IN,2022-11-29
549,14713,491,IN,2023-04-05
550,14713,-13,OUT,2025-03-26
551,14713,-47,OUT,2024-03-12
552,14713,-25,OUT,2025-10-17
553,14890,-53,OUT,2025-02-19
554,3533,346,IN,2024-04-02
555,3533,-93,OUT,2022-01-15
556,3533,31,ADJUSTMENT,2024-05-26
557,1795,36,IN,2022-02-03
558,1795,-30,OUT,2021-10-27
559,1795,-17,OUT,2023-06-23
560,1795,-48,OUT,2025-05-26
561,18202,379,IN,2021-10-28
562,12304,-43,OUT,2022-08-11
563,1929,-55,OUT,2023-12-18
564,1929,-52,OUT,2024-10-28
565,1929,85,IN,2021-03-22
566,1929,-23,OUT,2021-03-17
567,16599,304,IN,2025-06-07
568,16599,488,IN,2021-05-29
569,16599,-2,OUT,2024-10-05
570,16599,414,IN,2024-01-20
571,15916,-36,OUT,2023-08-04
572,15916,-45,OUT,2023-07-12
573,15916,0,ADJUSTMENT,2021-11-29
574,15916,452,IN,2025-09-17
575,15916,-68,OUT,2021-08-12
576,11671,211,IN,2021-03-18
577,11671,303,IN,2025-01-13
578,11671,-71,OUT,2023-05-16
579,11671,-91,OUT,2023-05-27
580,17169,-15,ADJUSTMENT,2021-01-08
581,16097,-76,OUT,2025-09-23
582,16097,-98,OUT,2023-07-13
583,16097,-8,OUT,2023-06-07
584,16097,470,IN,2024-02-22
585,16097,203,IN,2023-11-12
586,358,-54,OUT,2021-12-26
587,358,118,IN,2024-08-01
588,358,-66,OUT,2025-06-07
589,358,347,IN,2025-06-30
590,358,58,IN,2022-08-28
591,6930,18,ADJUSTMENT,2024-11-24
592,2076,208,IN,2025-03-22
593,2076,386,IN,2023-01-12
594,2076,-85,OUT,2025-01-15
595,2076,-5,OUT,2023-06-29
596,2076,-22,OUT,2022-02-11
597,12257,-39,OUT,2025-01-11
598,12257,-68,OUT,2024-11-07
599,12257,377,IN,2022-06-09
600,12257,-28,OUT,2022-07-13
601,12257,440,IN,2025-11-22
602,15935,9,ADJUSTMENT,2024-06-15
603,15935,-44,OUT,2023-07-21
604,15935,114,IN,2025-10-15
605,15935,-34,OUT,2023-04-05
606,13724,42,IN,2023-01-26
607,13724,431,IN,2024-01-29
608,11125,458,IN,2023-11-10
609,11125,491,IN,2021-09-27
610,10800,-43,OUT,2021-06-29
611,10800,-96,OUT,2025-11-17
612,10800,18,ADJUSTMENT,2021-06-19
613,10800,-59,OUT,2025-02-06
614,10800,-24,OUT,2025-02-27
615,14241,-49,OUT,2025-05-31
616,14241,441,IN,2022-07-18
617,14241,12,IN,2025-09-08
618,14241,-10,OUT,2021-10-02
619,4579,145,IN,2022-07-11
620,4579,-29,ADJUSTMENT,2021-05-07
621,4579,-81,OUT,2022-04-24
622,4579,-3,OUT,2023-11-09
623,4579,258,IN,2025-10-17
624,17214,18,ADJUSTMENT,2024-06-09
625,16637,116,IN,2023-10-12
626,13007,-74,OUT,2024-12-11
627,13007,-9,OUT,2024-06-03
628,13007,-46,OUT,2021-11-09
629,13007,-40,OUT,2022-11-10
630,10790,-2,ADJUSTMENT,2022-07-16
631,10790,-79,OUT,2023-09-28
632,10790,-56,OUT,2024-01-14
633,13788,-76,OUT,2025-11-06
634,13788,-43,ADJUSTMENT,2022-03-12
635,13788,122,IN,2024-12-08
636,13788,-72,OUT,2021-08-24
637,13788,-2,OUT,2021-02-08
638,16541,197,IN,2024-11-30
639,3548,-50,OUT,2024-05-06
640,3548,-87,OUT,2022-12-25
641,3548,310,IN,2023-11-04
642,3548,-23,OUT,2021-03-27
643,3548,-72,OUT,2024-03-28
644,8357,399,IN,2022-10-25
645,8357,-41,OUT,2021-12-11
646,8357,225,IN,2021-12-19
647,8357,-34,OUT,2022-02-13
648,8357,-90,OUT,2023-07-17
649,8163,8,ADJUSTMENT,2024-11-24
650,4400,-30,OUT,2023-10-15
651,4400,-25,OUT,2025-09-30
652,4400,-18,OUT,2025-11-16
653,4400,391,IN,2021-09-11
654,4400,-67,OUT,2021-12-09
655,7948,36,ADJUSTMENT,2025-03-01
656,7948,486,IN,2022-07-06
657,7948,484,IN,2023-07-10
658,7948,-89,OUT,2025-03-03
659,7948,-11,ADJUSTMENT,2023-08-17
660,9252,-31,OUT,2025-09-25
661,9252,388,IN,2023-08-21
662,9252,35,IN,2022-08-03
663,9252,-100,OUT,2024-06-03
664,12132,-46,OUT,2024-10-12
665,505,-17,OUT,2023-12-18
666,505,309,IN,2025-02-28
667,7573,-71,OUT,2025-05-19
668,1121,340,IN,2022-04-27
669,6013,167,IN,2024-02-07
670,6013,-57,OUT,2025-03-20
671,6013,-19,OUT,2022-06-18
672,6736,-62,OUT,2023-09-17
673,6736,-81,OUT,2025-06-20
674,6736,5,ADJUSTMENT,2023-11-17
675,17904,-47,OUT,2025-08-13
676,17904,-2,OUT,2023-01-06
677,17904,-67,OUT,2022-07-27
678,10942,-39,OUT,2022-08-28
679,10942,430,IN,2022-09-11
680,6776,145,IN,2025-03-21
681,6776,90,IN,2021-03-22
682,714,-72,OUT,2021-03-27
683,714,-19,ADJUSTMENT,2025-05-24
684,6260,466,IN,2025-06-05
685,6260,-38,OUT,2022-05-13
686,17666,-24,OUT,2025-09-06
687,17666,-82,OUT,2021-12-17
688,17666,342,IN,2024-03-02
689,17666,185,IN,2023-12-27
690,1128,-81,OUT,2024-08-15
691,1128,-27,ADJUSTMENT,2021-07-01
692,16106,-59,OUT,2024-11-26
693,16106,-80,OUT,2022-11-15
694,16106,-51,OUT,2023-10-08
695,695,98,IN,2025-04-26
696,695,-14,ADJUSTMENT,2022-07-31
697,695,49,IN,2021-08-08
698,695,-14,ADJUSTMENT,2022-02-02
699,8595,-41,OUT,2025-02-11
700,8595,17,ADJUSTMENT,2023-11-19
701,14705,11,ADJUSTMENT,2021-12-03
702,8569,-72,OUT,2023-12-04
703,13767,-39,OUT,2021-06-07
704,13767,-93,OUT,2021-04-08
705,13767,295,IN,2025-02-21
706,13767,-72,OUT,2023-03-12
707,2087,10,ADJUSTMENT,2022-05-30
708,14670,105,IN,2024-03-06
709,14670,-59,OUT,2025-04-25
710,14670,156,IN,2021-10-16
711,14670,287,IN,2022-05-08
712,14670,-22,OUT,2022-09-26
713,4430,-82,OUT,2024-07-18
714,4430,-89,OUT,2023-12-27
715,4430,91,IN,2023-10-13
716,4430,-86,OUT,2022-12-17
717,18282,298,IN,2022-04-02
718,18282,-40,OUT,2021-12-20
719,14406,-24,OUT,2025-04-25
720,14406,238,IN,2022-08-24
721,14406,362,IN,2021-06-23
722,18841,-24,OUT,2021-08-11
723,12807,-15,OUT,2021-08-12
724,12807,-26,OUT,2023-06-25
725,2228,27,ADJUSTMENT,2023-10-13
726,2228,-23,OUT,2025-10-06
727,2228,-22,OUT,2021-04-02
728,7994,147,IN,2025-05-14
729,7994,-34,ADJUSTMENT,2022-05-12
730,13743,-30,OUT,2024-08-07
731,13743,359,IN,2023-06-29
732,13743,148,IN,2025-08-19
733,13743,153,IN,2021-01-07
734,13743,259,IN,2024-09-02
735,12937,-48,ADJUSTMENT,2023-02-17
736,12937,-96,OUT,2025-01-28
737,12937,416,IN,2021-10-17
738,12937,182,IN,2021-07-26
