shipping_id,customer_address_id,shipping_status,shipping_cost
95,5268,Delivered,39.03
96,723,Delivered,7.74
97,5269,Delivered,32.71
98,1838,Delivered,49.4
99,1225,In Transit,36.45
100,5270,Shipped,32.21
101,1518,Cancelled,36.53
102,4607,Delivered,27.2
103,5196,Delivered,8.92
104,1281,Delivered,10.3
105,2032,Pending,20.66
106,5271,Delivered,48.87
107,5272,Shipped,24.32
108,5273,Delivered,24.37
109,651,Delivered,22.78
110,710,Delivered,12.72
111,1520,Delivered,29.88
112,5274,Delivered,48.98
113,5275,Delivered,16.91
114,5276,Pending,31.39
115,5277,Delivered,37.53
116,65,Delivered,29.58
117,2920,Delivered,5.13
118,1803,Delivered,49.72
119,5094,Pending,43.09
120,990,Pending,7.01
121,4856,Shipped,37.17
122,5278,Delivered,48.19
123,4664,Shipped,31.78
124,5279,Delivered,39.72
125,1065,Delivered,39.95
126,5280,In Transit,44.7
127,5281,In Transit,6.47
128,1091,Pending,30.76
129,1082,Delivered,15.13
130,2886,Shipped,20.68
131,1129,Pending,14.28
132,3579,Delivered,12.55
133,4450,Delivered,6.83
134,345,Delivered,45.76
135,2406,Cancelled,20.48
136,4483,Delivered,10.11
137,3067,Delivered,15.18
138,2565,Delivered,19.79
139,4306,In Transit,45.39
140,2912,Delivered,23.22
141,5282,Delivered,29.95
142,1085,In Transit,36.28
143,412,Delivered,13.71
144,1042,Shipped,13.67
145,1686,Delivered,43.24
146,1280,Delivered,12.34
147,5283,Delivered,5.33
148,5284,Delivered,20.61
149,159,Delivered,29.23
150,5285,Delivered,10.51
151,5286,Delivered,40.49
152,392,Delivered,9.07
153,2076,Delivered,7.59
154,1001,Delivered,38.81
155,1942,Delivered,45.85
156,3557,Cancelled,32.67
157,629,In Transit,10.31
158,1195,Shipped,27.34
159,2071,Delivered,26.65
160,3,Shipped,21.73
161,5287,Delivered,45.79
162,2919,Delivered,31.79
163,2618,Delivered,33.84
164,2680,Delivered,45.58
165,1633,Processing,49.37
166,1755,Delivered,10.96
167,1837,In Transit,8.42
168,883,In Transit,26.67
169,2900,Delivered,23.04
170,4554,In Transit,43.47
171,3323,Delivered,19.33
172,1768,Delivered,27.89
173,2349,Shipped,16.33
174,1097,Delivered,45.76
175,5288,Delivered,45.07
176,690,Delivered,25.19
177,2102,Delivered,6.19
178,4020,Delivered,12.13
179,5289,In Transit,28.99
180,2973,In Transit,44.36
181,2872,Delivered,13.6
182,5290,Delivered,7.83
183,5291,Delivered,43.7
184,5057,In Transit,19.3
185,2209,Shipped,37.39
186,4896,Shipped,31.18
187,5292,Delivered,15.7
188,5293,Delivered,28.28
189,651,Delivered,46.28
190,5294,Delivered,11.28
191,4887,Delivered,48.82
192,5295,Delivered,38.36
193,3312,Processing,11.9
194,2508,Delivered,29.54
195,5296,Delivered,16.45
196,1537,Delivered,19.46
197,1725,Delivered,40.6
198,2308,Cancelled,38.12
199,5297,Delivered,18.61
200,5298,Delivered,27.17
201,1959,Delivered,33.53
202,4525,In Transit,13.92
203,3214,Shipped,15.55
204,2080,Delivered,31.53
205,1206,Delivered,20.94
206,4414,Processing,32.79
207,5299,Delivered,20.31
208,5027,Cancelled,34.95
209,611,Delivered,17.37
210,5124,Delivered,20.01
211,5300,Delivered,40.3
212,3597,Delivered,28.87
213,5301,Cancelled,29.37
214,1773,Delivered,19.43
215,5302,Shipped,40.72
216,5303,Pending,40.48
217,5298,Delivered,27.86
218,1788,Delivered,10.64
219,1663,Delivered,12.57
220,900,Delivered,14.75
221,5304,Delivered,44.37
222,2503,Delivered,8.61
223,2465,Shipped,12.59
224,2939,Delivered,13.26
225,2038,Delivered,38.97
226,5305,Delivered,20.87
227,2194,Delivered,47.02
228,1283,Cancelled,39.06
229,4239,Delivered,25.12
230,2279,Delivered,13.49
231,5306,Delivered,44.64
232,5307,Delivered,9.08
233,3962,In Transit,40.68
234,1358,In Transit,17.31
235,5308,Delivered,30.8
236,5185,Delivered,40.46
237,5144,Delivered,34.48
238,5204,Delivered,42.42
239,2845,Delivered,11.05
240,5309,Delivered,16.8
241,2567,Delivered,20.42
242,3859,Delivered,48.33
243,2330,Processing,13.74
244,4566,Delivered,42.62
245,2907,In Transit,5.84
246,2763,Delivered,8.37
247,1986,In Transit,8.8
248,2766,In Transit,21.68
249,2902,Shipped,32.86
250,5310,Delivered,18.4
251,4415,Delivered,8.91
252,5311,Pending,22.2
253,1212,Cancelled,7.1
254,1957,Shipped,46.93
255,5312,Pending,26.86
256,345,Delivered,23.0
257,5313,Delivered,46.56
258,3722,Processing,42.39
259,809,Delivered,48.9
260,1378,In Transit,22.59
261,1772,Delivered,28.66
262,1802,Delivered,5.46
263,12,Shipped,15.27
264,5314,Processing,17.21
265,4154,Delivered,42.18
266,4906,Delivered,43.58
267,2310,Delivered,14.25
268,4389,Delivered,13.92
269,5315,Delivered,5.56
270,5316,In Transit,32.77
271,5317,Delivered,9.19
272,5318,In Transit,11.17
273,712,Delivered,9.46
274,5141,In Transit,45.5
275,2979,Shipped,46.19
276,19,Delivered,13.04
277,5319,Delivered,45.26
278,1839,Delivered,26.45
279,5307,Pending,46.34
280,2806,In Transit,43.64
281,5320,In Transit,16.3
282,5321,Pending,33.07
283,4453,Delivered,17.48
284,1126,Delivered,8.13
285,5108,Delivered,20.31
286,253,Cancelled,24.86
287,5295,Delivered,42.62
288,2123,Shipped,32.7
289,489,Shipped,18.49
290,3827,In Transit,44.7
291,3613,Delivered,14.86
292,4790,Processing,39.72
293,5322,In Transit,27.33
294,2274,Delivered,20.54
295,3524,Delivered,40.83
296,889,In Transit,22.49
297,1917,Cancelled,30.66
298,5323,Delivered,12.45
299,4875,Delivered,39.77
300,5324,Delivered,15.14
301,5002,Delivered,11.16
302,4387,Delivered,6.87
303,3093,Delivered,12.78
304,2714,In Transit,38.03
305,251,Cancelled,34.38
306,4942,Delivered,5.14
307,1720,Delivered,27.54
308,5325,Delivered,44.85
309,1227,Shipped,47.46
310,2209,In Transit,22.59
311,4131,Delivered,19.46
312,5326,Delivered,5.72
313,4936,In Transit,31.17
314,5327,In Transit,29.01
315,5328,Delivered,24.23
316,5329,Delivered,43.09
317,5330,In Transit,38.17
318,5331,Cancelled,25.5
319,5332,In Transit,28.51
320,711,Delivered,25.57
321,5043,Delivered,21.88
322,2735,Delivered,25.31
323,5333,Delivered,43.53
324,3615,Delivered,16.54
325,4491,Delivered,26.03
326,4632,In Transit,22.45
327,2912,Delivered,29.91
328,5334,Processing,48.41
329,5091,Delivered,34.66
330,3608,Delivered,8.92
331,242,Delivered,28.29
332,4237,Processing,6.51
333,5335,Delivered,25.38
334,5336,Delivered,12.51
335,4329,Delivered,5.5
336,2047,Delivered,20.05
337,560,Delivered,34.24
338,1059,In Transit,22.33
339,1673,Delivered,15.63
340,3454,Pending,44.7
341,60,In Transit,45.47
342,5032,In Transit,16.16
343,4320,Delivered,24.12
344,1087,Delivered,14.51
345,3468,Delivered,34.01
346,716,Delivered,6.0
347,3220,Delivered,36.54
348,3340,Delivered,10.41
349,3214,Shipped,13.24
350,173,Delivered,23.46
351,5337,Delivered,46.01
352,1834,Delivered,39.92
353,5338,Delivered,39.7
354,5339,Delivered,34.12
355,299,Delivered,14.81
356,2359,Delivered,35.43
357,5340,Delivered,7.1
358,2560,Delivered,14.24
359,3896,Delivered,18.71
360,1258,Delivered,36.34
361,5341,Delivered,44.08
362,4197,Delivered,26.67
363,843,Delivered,38.39
364,5342,Delivered,49.74
365,657,Delivered,5.99
366,5343,Shipped,18.62
367,4116,Delivered,42.28
368,4772,Delivered,7.64
369,3031,Delivered,30.25
370,671,Delivered,39.42
371,5344,Delivered,23.07
372,5345,Delivered,6.34
373,4992,Processing,13.41
374,1957,Delivered,8.14
375,5346,Cancelled,31.0
376,2293,Pending,45.33
377,5314,Delivered,13.62
378,5347,Delivered,31.16
379,5110,Delivered,27.9
380,5204,Delivered,35.28
381,1418,Shipped,29.14
382,4774,Shipped,10.4
383,4072,Cancelled,36.61
384,5348,Delivered,39.63
385,663,Processing,15.5
386,1013,Delivered,38.19
387,2636,Delivered,29.03
388,358,In Transit,18.86
389,2894,In Transit,23.24
390,5349,Delivered,6.36
391,4065,Delivered,31.61
392,5350,Cancelled,34.92
393,5351,Delivered,8.92
394,2181,Delivered,48.09
395,5352,Delivered,49.53
396,3879,In Transit,5.87
397,5353,Delivered,39.88
398,2648,Pending,23.83
399,5354,Shipped,22.12
400,2799,Delivered,32.76
401,5355,Pending,24.76
402,3142,Delivered,16.63
403,4592,Cancelled,12.31
404,444,Delivered,15.44
405,3697,In Transit,38.41
406,2883,Delivered,40.39
407,3622,Delivered,36.38
408,850,Delivered,36.22
409,226,Delivered,8.39
410,834,Delivered,10.02
411,1662,Pending,43.7
412,5356,Cancelled,33.53
413,891,In Transit,17.2
414,5357,Delivered,10.13
415,3059,Delivered,28.75
416,2,Delivered,39.14
417,2803,Delivered,9.63
418,5172,Delivered,16.37
419,5358,Delivered,46.45
420,3779,Delivered,45.56
421,795,Pending,9.19
422,4617,Delivered,47.28
423,2758,Processing,10.15
424,5359,Shipped,31.96
425,1822,Pending,33.39
426,5360,In Transit,44.59
427,5361,Delivered,28.09
428,5362,Delivered,28.29
429,5363,Processing,48.24
430,1525,Shipped,12.17
431,69,Delivered,12.45
432,73,Delivered,29.76
433,854,Delivered,39.67
434,2631,Delivered,42.91
435,2225,Delivered,47.59
436,5364,Shipped,5.87
437,4803,Delivered,27.84
438,5365,Delivered,20.25
439,3557,Delivered,33.87
440,4086,Processing,17.4
441,2810,Delivered,29.29
442,2072,Shipped,31.66
443,3988,Delivered,31.99
444,2979,Shipped,43.64
445,1590,Delivered,26.25
446,5366,Pending,5.7
447,5070,Pending,11.01
448,1146,Delivered,33.12
449,5279,Delivered,33.6
450,5331,Delivered,49.74
451,4366,Delivered,35.26
452,405,In Transit,17.63
453,5367,Delivered,41.14
454,3771,Delivered,34.29
455,2424,Delivered,20.03
456,390,Delivered,41.96
457,1692,Shipped,5.26
458,2846,In Transit,38.11
459,4320,Delivered,34.79
460,5368,Delivered,18.42
461,1655,Delivered,21.83
462,5066,Processing,5.84
463,1375,Cancelled,46.67
464,5261,In Transit,25.63
465,4539,Delivered,13.22
466,1369,Delivered,30.64
467,3321,Delivered,41.74
468,5369,Delivered,16.25
469,3492,Pending,39.25
470,3768,In Transit,46.32
471,5370,Shipped,21.89
472,5371,Delivered,39.42
473,1262,Delivered,6.89
474,2941,Delivered,36.43
475,5372,Processing,27.56
476,1046,Delivered,28.98
477,5373,Delivered,21.52
478,3536,Cancelled,35.59
479,2497,Delivered,44.32
480,605,Delivered,17.24
481,5374,Shipped,27.95
482,159,Delivered,20.85
483,2153,Delivered,25.33
484,5375,In Transit,28.3
485,1237,Delivered,37.05
486,1574,Cancelled,49.96
487,4227,Pending,15.39
488,3832,Delivered,23.15
489,2359,Cancelled,39.9
490,3907,Delivered,23.35
491,5376,Delivered,10.82
492,5377,Delivered,30.51
493,5378,Delivered,46.01
494,5379,Shipped,45.73
495,5070,In Transit,7.27
496,931,Delivered,32.22
497,4481,Delivered,12.46
498,842,Pending,32.89
499,5380,Processing,23.76
500,5381,Delivered,25.42
501,1725,Shipped,31.25
502,5382,Delivered,45.16
503,1219,Delivered,49.34
504,1785,Delivered,47.66
505,4936,Delivered,11.94
506,372,Cancelled,32.14
507,2382,In Transit,29.67
508,4212,Delivered,38.82
509,2070,Delivered,43.93
510,3632,Delivered,28.16
511,4323,Shipped,25.29
512,5383,Delivered,46.24
513,1195,In Transit,18.55
514,553,Pending,28.63
515,4997,Delivered,47.64
516,2996,Delivered,45.28
517,5384,In Transit,9.3
518,5024,Shipped,28.75
519,3771,Processing,39.4
520,5385,Delivered,49.6
521,4445,Delivered,6.32
522,5386,Pending,18.03
523,3690,Delivered,49.05
524,323,Shipped,46.85
525,4795,Delivered,32.76
526,1215,Delivered,8.03
527,808,Delivered,38.35
528,962,Delivered,43.38
529,5300,Delivered,37.9
530,669,Shipped,14.8
531,5387,Delivered,14.19
532,2815,Shipped,27.31
533,2117,Delivered,33.6
534,5374,Delivered,10.96
535,5388,Delivered,29.31
536,4631,Delivered,42.48
537,4082,Delivered,12.19
538,4544,Shipped,47.29
539,737,Delivered,45.89
540,5389,Delivered,48.63
541,238,Shipped,7.5
542,1959,In Transit,20.16
543,4389,Delivered,30.66
544,3637,Delivered,24.2
545,3242,Delivered,41.02
546,785,Delivered,16.75
547,2002,Delivered,23.03
548,5390,Cancelled,30.58
549,2709,Delivered,39.96
550,2542,Pending,49.05
551,5391,Delivered,49.45
552,1138,Delivered,29.03
553,3791,Delivered,8.83
554,3588,Delivered,16.07
555,5392,Delivered,25.19
556,4103,Delivered,9.52
557,1937,Cancelled,30.73
558,1277,Delivered,11.88
559,5393,Delivered,46.19
560,5394,Delivered,39.71
561,3735,In Transit,5.3
562,3287,Delivered,47.27
563,5059,Shipped,10.42
564,5395,Processing,15.15
565,5396,Delivered,13.74
566,2336,Delivered,19.21
567,5397,Delivered,5.57
568,4357,Delivered,27.31
569,2433,Cancelled,8.3
570,2621,In Transit,20.73
571,5398,Delivered,8.88
572,2260,Cancelled,34.85
573,151,Delivered,11.6
574,3924,Delivered,32.99
575,1067,Processing,31.89
576,5019,Delivered,13.92
577,4039,Pending,14.45
578,571,Shipped,18.42
579,5399,Cancelled,18.23
580,2799,Delivered,17.38
581,5400,Pending,29.75
582,5401,Delivered,17.19
583,1992,Cancelled,24.98
584,5402,Shipped,23.72
585,3212,Cancelled,15.15
586,2231,Delivered,46.54
587,1972,Delivered,36.13
588,3630,Delivered,19.46
589,5403,Delivered,32.37
590,5058,Cancelled,33.34
591,4212,Delivered,35.96
592,3350,Processing,48.87
593,302,Cancelled,36.28
594,2808,Delivered,12.49
595,5404,In Transit,20.62
596,2233,Cancelled,22.26
597,3793,Delivered,6.67
598,5023,Delivered,30.13
599,5405,Delivered,5.07
600,1788,Delivered,38.39
601,72,Delivered,41.35
602,1513,In Transit,42.58
603,2461,Delivered,37.32
604,4021,In Transit,35.11
605,5406,Delivered,34.99
606,2961,Delivered,7.11
607,1399,Processing,26.28
608,5407,In Transit,5.51
609,3617,Pending,42.3
610,698,Delivered,19.02
611,2373,In Transit,10.28
612,5408,Delivered,5.83
613,4927,Delivered,32.19
614,5409,Shipped,29.57
615,5169,Pending,41.19
616,5410,Delivered,14.41
617,703,Delivered,39.6
618,3674,Pending,38.23
619,1486,Delivered,28.12
620,4287,Delivered,29.48
621,5411,Delivered,47.68
622,4433,Pending,36.2
623,4858,Delivered,25.02
624,615,Delivered,11.82
625,2855,Delivered,32.36
626,3111,Delivered,48.69
627,5321,Delivered,36.14
628,5412,In Transit,14.3
629,5413,Delivered,15.65
630,4301,Processing,10.95
631,3589,Cancelled,13.54
632,1714,Delivered,18.5
633,2238,Delivered,27.64
634,1744,Delivered,7.4
635,2880,Pending,24.44
636,5414,Delivered,37.39
637,1103,Cancelled,26.73
638,3685,Pending,31.85
639,4415,Shipped,35.58
640,1104,Processing,36.47
641,5415,Delivered,42.76
642,347,Cancelled,33.31
643,5416,Processing,43.95
644,1244,Delivered,13.99
645,4527,Delivered,11.54
646,3688,Delivered,9.51
647,2961,Delivered,17.41
648,5417,Shipped,7.12
649,5128,Shipped,22.97
650,2671,Delivered,10.37
651,5418,In Transit,23.15
652,4428,Delivered,25.47
653,2021,Shipped,49.45
654,723,Delivered,19.11
655,756,Pending,26.17
656,2479,In Transit,26.48
657,5419,In Transit,37.0
658,5420,Cancelled,37.69
659,3278,Delivered,7.55
660,5079,Delivered,45.13
661,867,Delivered,46.33
662,5421,Delivered,8.6
663,1802,Delivered,18.02
664,175,Delivered,42.03
665,5402,Delivered,37.81
666,1616,Delivered,23.96
667,3226,Cancelled,41.18
668,2192,Delivered,10.95
669,4138,Delivered,16.17
670,4690,Delivered,30.93
671,5422,Cancelled,21.35
672,3210,Delivered,11.2
673,2209,Delivered,38.29
674,5139,Delivered,10.84
675,5423,Delivered,30.0
676,5412,Delivered,14.72
677,5424,Delivered,23.06
678,5425,Delivered,41.57
679,1574,Delivered,6.87
680,2161,Pending,24.53
681,5426,Delivered,6.98
682,5427,Processing,44.92
683,246,In Transit,33.5
684,5428,Delivered,5.36
685,2369,Delivered,10.43
686,1982,Delivered,31.4
687,4927,Processing,49.48
688,1688,Delivered,38.34
689,4207,Shipped,11.44
690,1773,Delivered,32.37
691,2821,Delivered,35.99
692,5227,Delivered,25.7
693,2057,Delivered,26.04
694,657,Shipped,15.41
695,4894,Shipped,34.22
696,5429,Pending,22.66
697,3949,Delivered,37.25
698,2399,Cancelled,10.99
699,2835,Delivered,20.7
700,4845,In Transit,27.18
701,3516,Delivered,19.48
702,2384,Delivered,49.17
703,254,Delivered,11.17
704,2693,Cancelled,38.62
705,5228,In Transit,17.67
706,5217,Delivered,19.82
707,293,Pending,10.6
708,5430,Delivered,30.25
709,2117,Delivered,31.79
710,1386,In Transit,20.77
711,4882,Delivered,44.88
712,2026,Delivered,39.29
713,5431,Delivered,23.28
714,5432,Delivered,31.87
715,3543,Delivered,11.72
716,5433,Delivered,27.28
717,3756,Pending,23.33
718,5434,Delivered,48.63
719,3913,Delivered,41.49
720,3595,Delivered,18.93
721,3526,In Transit,25.14
722,668,Shipped,43.87
723,1055,Delivered,23.97
724,892,Shipped,5.72
725,5435,Processing,40.99
726,5436,Pending,27.68
727,759,Shipped,21.85
728,996,Delivered,5.2
729,5437,Delivered,35.57
730,4090,Delivered,9.06
731,47,Delivered,9.23
732,4847,Delivered,20.61
733,5438,Shipped,7.78
734,3246,Processing,16.5
735,2945,Delivered,16.04
736,5439,In Transit,24.91
737,5440,Cancelled,36.93
738,4173,Delivered,37.94
739,2810,Delivered,9.37
740,5441,Cancelled,36.25
741,5442,Processing,26.04
742,3775,Shipped,37.52
743,5443,Processing,47.01
744,678,Delivered,33.93
745,5444,Delivered,30.9
746,4908,Delivered,48.4
747,5241,Delivered,43.14
748,2945,Delivered,14.67
749,2055,Delivered,44.83
750,5445,Delivered,13.77
751,653,In Transit,32.33
752,908,Delivered,35.17
753,184,Pending,29.61
754,2470,Pending,35.9
755,1849,In Transit,13.36
756,5446,Delivered,38.57
757,5447,Delivered,26.33
758,4390,In Transit,29.39
759,5448,Delivered,5.27
760,1101,Shipped,30.36
761,1026,Delivered,32.16
762,785,Shipped,15.89
763,935,Delivered,41.78
764,3572,Delivered,32.17
765,4434,Shipped,40.38
766,1208,Delivered,30.45
767,5256,Pending,18.01
768,5136,Delivered,44.09
769,5139,Delivered,19.5
770,1115,Delivered,41.7
771,5449,Delivered,45.31
772,1,Delivered,32.78
773,3925,Shipped,13.41
774,5450,In Transit,26.3
775,2300,Shipped,46.99
776,4184,Delivered,37.44
777,5451,Pending,34.33
778,190,Shipped,15.72
779,3289,In Transit,30.89
780,812,Processing,49.62
781,3641,In Transit,32.76
782,2377,Delivered,40.93
783,2188,In Transit,18.2
784,509,Delivered,18.36
785,3735,Delivered,32.21
786,3995,Pending,45.03
787,2933,Delivered,35.27
788,4981,Processing,19.45
789,1486,Delivered,42.92
790,2245,Delivered,10.71
791,5452,Delivered,46.17
792,257,Delivered,24.64
793,4324,In Transit,33.01
794,5453,Shipped,48.17
795,3317,Delivered,5.17
796,5454,Cancelled,40.49
797,5455,Shipped,14.6
798,3430,Delivered,39.81
799,2895,Delivered,33.14
800,4951,Delivered,46.11
801,1664,In Transit,26.03
802,1746,Delivered,47.27
803,4948,Delivered,37.67
804,2721,Delivered,6.52
805,5456,Delivered,46.79
806,2557,Delivered,6.27
807,5378,Delivered,5.16
808,5457,Delivered,7.36
809,3943,Delivered,6.55
810,586,Delivered,12.63
811,5125,Delivered,18.69
812,1749,Delivered,8.82
813,1484,Delivered,33.81
814,3066,Processing,18.39
815,5447,In Transit,45.4
816,2493,Delivered,35.39
817,1571,Delivered,26.3
818,4669,Delivered,27.79
819,2169,Delivered,23.91
820,5258,Delivered,46.67
821,5458,Shipped,24.34
822,5459,In Transit,42.92
823,2912,Delivered,23.22
824,3579,Delivered,34.81
825,4788,Delivered,43.11
826,3939,Cancelled,23.16
827,5460,Delivered,16.81
828,2388,Delivered,8.19
829,5461,Delivered,17.03
830,2308,In Transit,34.06
831,2720,In Transit,28.52
832,5462,Delivered,31.42
833,3207,Delivered,35.57
834,555,Delivered,42.74
835,4009,Delivered,42.9
836,1656,Delivered,8.48
837,1427,Delivered,36.77
838,4414,Delivered,31.52
839,1266,Delivered,19.17
840,4281,Delivered,44.0
841,5463,In Transit,41.02
842,1944,Delivered,42.06
843,5012,In Transit,24.64
844,2473,In Transit,10.93
845,1736,Delivered,31.57
846,2275,Shipped,9.56
847,2391,Delivered,37.34
848,3878,Delivered,47.06
849,5464,Delivered,34.29
850,5451,Delivered,45.96
851,3704,Delivered,17.97
852,3831,Pending,15.26
853,595,Shipped,36.49
854,2661,Delivered,25.27
855,5465,Delivered,49.45
856,1375,Shipped,11.19
857,3123,Delivered,31.62
858,1320,Delivered,46.19
859,4094,Delivered,18.51
860,5466,Shipped,46.81
861,3630,Delivered,22.9
862,4389,Delivered,27.68
863,1060,Delivered,43.13
864,5336,Delivered,28.69
865,5467,Delivered,10.79
866,311,Delivered,33.93
867,2033,Delivered,7.6
868,1595,In Transit,48.76
869,265,Pending,22.46
870,2949,Cancelled,36.39
871,308,Delivered,14.0
872,2345,Delivered,30.9
873,1952,Delivered,18.77
874,2435,Delivered,30.87
875,518,In Transit,44.14
876,5431,Delivered,6.1
877,4867,Delivered,28.19
878,157,Delivered,33.06
879,5468,Shipped,40.86
880,1406,In Transit,35.52
881,4662,Delivered,5.17
882,201,Shipped,46.32
883,3312,Shipped,22.77
884,5148,Processing,42.77
885,5469,Delivered,44.6
886,5470,Shipped,22.29
887,277,Delivered,9.45
888,4258,Delivered,45.54
889,1501,Delivered,35.8
890,2622,Delivered,17.5
891,4592,Delivered,46.71
892,4456,Delivered,19.51
893,5471,Delivered,21.13
894,5472,Cancelled,9.49
895,2731,Delivered,16.46
896,4008,Processing,5.26
897,5473,Delivered,28.57
898,5474,Delivered,40.41
899,4365,Shipped,28.89
900,91,Delivered,35.75
901,2311,Delivered,23.66
902,4429,Shipped,19.63
903,1084,Delivered,45.13
904,1480,Delivered,16.7
905,2889,Delivered,31.49
906,5391,Shipped,18.32
907,2704,In Transit,43.16
908,5475,Delivered,28.82
909,2684,Pending,49.92
910,1850,Delivered,39.9
911,211,Delivered,41.93
912,4306,Delivered,37.86
913,3555,Delivered,48.12
914,1244,Delivered,7.05
915,3697,In Transit,41.45
916,5476,Delivered,46.23
917,3149,Shipped,23.5
918,5477,Delivered,40.88
919,633,Delivered,7.18
920,5478,Pending,29.06
921,2057,Delivered,32.39
922,2592,In Transit,38.6
923,1503,Pending,35.06
924,41,Delivered,39.66
925,5479,Delivered,42.07
926,5480,Delivered,26.82
927,2944,Delivered,41.96
928,457,Delivered,26.91
929,5481,Shipped,20.15
930,5482,In Transit,17.09
931,3842,In Transit,22.52
932,4339,Delivered,5.59
933,2433,In Transit,6.9
934,4212,Delivered,38.91
935,3814,In Transit,36.11
936,728,Cancelled,27.92
937,5483,Delivered,30.79
938,5484,In Transit,33.76
939,5485,Pending,16.3
940,5486,Delivered,20.16
941,5487,Pending,39.26
942,977,Delivered,34.6
943,5488,Delivered,12.59
944,1076,Delivered,17.16
945,3024,Pending,41.39
946,5489,Processing,15.5
947,5490,Delivered,46.01
948,2214,Delivered,39.32
949,5009,Delivered,17.62
950,5290,Shipped,5.79
951,5491,Pending,19.05
952,3082,Delivered,9.34
953,3089,Delivered,34.92
954,5026,Delivered,28.97
955,255,Cancelled,32.43
956,4742,Delivered,10.12
957,5492,Delivered,28.11
958,941,Delivered,17.03
959,5493,Shipped,28.52
960,5494,Delivered,5.17
961,4773,Delivered,37.58
962,1702,Delivered,19.4
963,2801,Delivered,44.32
964,2968,In Transit,41.27
965,5495,Shipped,30.67
966,5113,In Transit,34.1
967,4873,Delivered,48.7
968,3860,Delivered,38.16
969,1583,Delivered,29.69
970,5496,Shipped,39.05
971,1849,Delivered,23.9
972,4225,In Transit,46.76
973,4007,Delivered,43.22
974,2462,Delivered,36.49
975,2509,Delivered,13.18
976,2904,Delivered,34.57
977,1866,Delivered,35.66
978,5497,Delivered,49.18
979,1191,Delivered,45.21
980,3344,Delivered,26.09
981,5498,Shipped,18.27
982,5499,Delivered,22.17
983,5500,Delivered,20.29
984,5501,Delivered,33.03
985,4826,Delivered,6.05
986,4417,Shipped,11.87
987,447,In Transit,37.62
988,2684,Delivered,26.32
989,1639,Delivered,27.62
990,35,Delivered,49.13
991,5502,Delivered,15.26
992,5503,Pending,30.79
993,1274,Delivered,41.56
994,4007,Delivered,24.28
995,1354,Delivered,44.28
996,3800,Delivered,33.25
997,1772,Delivered,35.2
998,1119,Cancelled,41.45
999,5504,Delivered,31.14
1000,5505,Delivered,8.18
1001,5506,Delivered,23.93
1002,4696,Delivered,14.11
1003,1280,Delivered,49.5
1004,350,Delivered,29.51
1005,1806,Delivered,6.79
1006,807,Delivered,14.46
1007,4250,Processing,20.87
1008,2318,Processing,27.24
